source1_entity_id	matched_entity_ids
S1-91229135	S2-73405606,S3-960685971,S3-776763819
S1-854284989	S2-580208171,S2-54609117,S3-676690737,S3-317013910
S1-446697179	S2-377640723,S2-922150401,S2-86619877,S3-142602324,S3-787413121
S1-996012175	S2-168466570,S2-269681023,S2-322555091,S3-153285717,S3-666964577,S3-522751192
S1-424050882	S3-37198119
S1-441851025	S2-794479832,S3-516789702
S1-894049089	S2-972003483,S3-841264731,S3-892940011
S1-683515854	S2-756250340,S2-434073238,S2-597139895,S3-145863982,S3-406939248
S1-297294757	S2-831679005,S3-802514980,S3-595893944,S3-17545461
S1-287953061	S2-423926954,S2-713716483,S3-161833863,S3-368347834
S1-635770223	S2-329661878,S2-117370496,S3-755529230,S3-52020616
S1-971813156	S3-394463058
S1-734355564	S3-111095129,S3-854314313
S1-477776195	S2-871236056,S3-723948056,S3-109807026
S1-821434436	S2-965836188,S3-869884588
S1-45260965	S3-722543767,S3-602719548,S3-339187428
S1-93741603	S2-535692078,S3-730249237,S3-981096747,S3-660744201,S3-782738358,S3-78873124
S1-472139199	S2-122544659,S3-403396329,S3-474761183
S1-247776121	S2-651967616,S2-867573251,S3-430990586,S3-422475598
S1-805056706	S2-155276085,S2-152730216,S3-538340664,S3-217277717,S3-786470510
S1-106072003	S2-699555547
S1-562378871	S2-164774900,S2-125217177,S3-361884466
S1-981013217	S2-133339848,S3-123466797,S3-967493646,S3-878103824,S3-204939280
S1-573706294	S2-20524568,S3-436229899,S3-694735964,S3-953602697,S3-626666235
S1-310827934	S2-720050181,S2-169546802,S2-186080711
S1-217362890	S2-764924647,S3-871408188
S1-879276752	S2-943394264,S3-570651750,S3-144339303
S1-921549539	S2-553145531,S3-483530074,S3-596285936
S1-906428444	S2-91790174,S2-321816304,S2-664348256,S3-932095902,S3-751767229,S3-129054940,S3-71002681
S1-505333132	S2-238550131,S3-551152157,S3-484968993
S1-88224713	
S1-136601270	S2-254817327,S3-449970897,S3-162285797,S3-311795383
S1-350234058	S3-90766911
S1-838355310	S2-351731497,S2-248722765,S2-58376459,S3-460098477
S1-155848476	S2-306873906,S2-911723717,S3-79854379
S1-156380173	S2-755422053,S2-905679603,S2-954495419,S3-713859403
S1-549559960	S2-848203707,S3-292200508,S3-231650119
S1-897282581	S2-522109781,S2-812189457,S3-747124468
S1-237739500	S3-679029492,S3-797828547,S3-148513444
S1-357837082	S2-236157315,S2-65680643,S3-245902676
S1-292603366	S2-757482340,S2-638471523,S2-805392241,S2-295843240,S3-77023816
S1-108246457	S2-463492748,S2-883950674,S3-838268095,S3-122500755
S1-727766958	S2-489771335,S3-262641232,S3-216771625
S1-719571188	
S1-646393119	S2-636746717,S3-433892033,S3-465583962,S3-886048349
S1-723966103	S2-399866773,S2-334991974,S3-73180305,S3-161755914
S1-76693096	S2-78074287,S2-160988895,S3-215540151
S1-967724835	S2-457310582,S3-682315461,S3-178777115
S1-288276341	S3-815540739
S1-887125153	S2-448398036
S1-304029686	S2-469411714,S2-948269515,S3-645171149,S3-270996986
S1-166609944	S2-429123768,S2-991673471,S3-91858577,S3-912252220
S1-178800424	S2-23183100,S3-900652028
S1-924630389	S2-143853453,S3-831568644,S3-10826619
S1-81771195	S2-338811924,S3-939808100,S3-616109
S1-403692077	
S1-745867296	S2-43113841
S1-671241040	S2-904226109
S1-557991692	S2-88682972,S3-176178171,S3-853727007
S1-8713989	S2-37189974,S3-58380591,S3-817876291,S3-588750081,S3-20459433
S1-945360052	S2-146961832,S2-768746975,S3-416879878,S3-993303669,S3-403273737
S1-555242352	S2-810626996,S2-253027494,S2-256698756,S3-884140951
S1-56911061	S2-689298806,S3-49524617,S3-632926404
S1-270043704	S2-807921453,S3-397763900
S1-477515156	S2-315095658,S2-154913443,S3-311437617,S3-979362679
S1-149024193	S2-186116098,S3-604630789
S1-625272950	S2-526399876,S3-618327131
S1-225124222	S2-686284157,S2-563632605,S3-512465987,S3-538964283
S1-754023472	S2-420202495,S3-176329043,S3-616793249
S1-302461695	S2-36747880,S3-420979078
S1-692219144	S2-974874434,S2-523089825,S3-560129335
S1-609996572	S2-40869239,S2-672443639,S2-190427009,S2-657417123,S3-262044007,S3-366128148
S1-236768477	S2-490929782,S2-765988280,S3-135901754,S3-40245970,S3-103597021
S1-86469552	S2-328039185,S3-220000395,S3-918163916,S3-479224552
S1-238175541	S2-558978413,S3-542988034,S3-905308312
S1-849670817	S2-110881580,S2-620496053,S2-414936885,S2-151920731,S3-188936373,S3-57849762,S3-32572135
S1-445868199	S2-872518576,S3-527067015,S3-924959775
S1-289512402	S2-547617311,S3-89827315,S3-145008714,S3-866244606
S1-842582339	S2-718008063,S2-332783247,S3-517179359,S3-923995241,S3-789259677,S3-84822830,S3-455248213
S1-54193164	S2-414539794,S2-434257717,S2-676269902,S3-687331533,S3-486621278
S1-508701481	S2-712560178,S2-316212039,S2-1173491,S3-444227012
S1-38836424	S2-589094691,S3-881605497,S3-112223799
S1-888185705	S3-521406491
S1-298796171	
S1-65040114	S2-66755406
S1-485414585	S2-333748173,S3-122687142,S3-730989427,S3-425803841
S1-994893973	S2-203258493,S3-360939675
S1-140763859	S2-672232195,S2-952678608,S3-912364563,S3-998314844
S1-705293979	S3-967828286
S1-618624562	S2-160477274,S2-961810110,S2-14084129,S3-441239023
S1-997802413	S2-261550171,S2-926905985,S3-317367352,S3-720276770,S3-440432997
S1-679550141	S2-876234727,S2-803016719,S3-937330852,S3-805670560,S3-712537949,S3-300368164
S1-73533983	S2-48233411,S2-99841727,S3-785488951
S1-139001469	S2-94756237,S2-44497918,S3-207399315
S1-472424906	S2-221481547,S2-814158570,S3-346286668,S3-257476923,S3-869369045,S3-386776122
S1-849274176	S2-34421487,S2-769215892,S2-780835769,S3-168674505
S1-759418496	S2-924496535,S2-971927879,S2-738948758,S2-622075002,S3-995238469
S1-776686932	S2-667655982,S2-200619743,S3-653415229,S3-675413406
S1-61094929	S2-300149849,S3-681449520,S3-899083547,S3-728538969
S1-482246278	S2-715957744,S3-576586964,S3-409374685,S3-320053472
S1-660909577	S2-290734878,S2-367610025,S2-445772691,S3-775037416,S3-49358837
S1-873415495	S2-930302127,S2-447283628,S3-264890869
S1-887286027	S2-419080910,S2-194799692,S3-879493126,S3-691429700
S1-935335906	S2-577689878
S1-115827165	S2-537593145,S3-655137558,S3-27891438,S3-494929490,S3-407678354,S3-153172012
S1-680347141	S3-315706239
S1-721605946	S2-429513205,S2-9535204
S1-478804382	S2-949124193,S2-386167994,S3-105647246,S3-123682857,S3-838160083
S1-399360980	S2-13956324,S2-347388159,S3-374508454
S1-946063787	S2-96281545,S3-255658738
S1-679981169	S2-548700789,S2-756848974,S3-559602234,S3-385446229,S3-902644030,S3-253689376
S1-852122558	S2-13742356,S2-836861185,S3-541486453
S1-654078241	S2-27298391,S2-542793063,S3-778778307,S3-45895204
S1-574271583	S2-567264163,S2-626684761,S2-308807234
S1-658984896	S2-696163364,S2-37217309,S3-702254487,S3-840280069,S3-627345153
S1-452967807	S2-890764231,S2-777341549,S2-360702286,S3-39218497,S3-296354640
S1-657325262	S2-301300035,S2-463332740,S3-76857645,S3-461081164
S1-643535950	S2-585909854,S2-401486146,S3-358233206,S3-760214219
S1-331538406	S2-796474854,S3-132376439
S1-543874807	S2-953534056,S3-34254854
S1-106444962	S2-286980458,S3-965045781,S3-563299717
S1-144239108	S2-458585786,S2-894769041,S3-763849963,S3-343516741,S3-172928912,S3-483249593
S1-30407062	S2-71016918,S3-217933567
S1-438778357	S2-486963367,S2-945217743,S3-869399325,S3-480050557,S3-877961637
S1-214603601	S2-427913641,S3-930269422
S1-251124112	S2-814927676,S3-529853039
S1-95631098	S2-396676093,S3-485547199,S3-589219360,S3-864807199
S1-6536886	S2-571765856,S3-492584127,S3-818730454
S1-936762728	S2-261521011,S3-753767840,S3-519366815,S3-694371926
S1-612170454	S2-561548830,S2-215445268,S3-593746032,S3-222750920,S3-491355510,S3-101093750
S1-574902381	S2-537298124,S3-288419509,S3-818620666
S1-635996806	S2-756480026,S2-445999214,S3-770372727
S1-266344604	S2-568551176,S2-137828681,S3-362251097,S3-912583004,S3-419735406,S3-498162929,S3-300641912
S1-105568631	S2-743200797,S3-686929711
S1-534481010	S2-585844839,S2-68982903,S2-454159039,S3-41198697
S1-107023539	
S1-785467099	
S1-39001923	S2-154102797,S3-31977274
S1-536166111	S2-997199702,S2-608893501,S3-824895734,S3-773720262,S3-441934598
S1-198632900	S2-746378757,S2-797407527,S3-538157416
S1-234200949	S2-691836232,S3-885421313
S1-632458045	S2-60917290,S2-606260225,S3-755795047,S3-359610633
S1-793444283	S2-970830420,S3-154533532,S3-247104730,S3-69332653,S3-929731081
S1-342756019	S2-86156493,S3-896407818,S3-198574741,S3-502144840
S1-542878809	S2-705264903,S3-870977650
S1-906973556	S2-778660695,S2-828310920,S3-419363003
S1-218988401	S3-149207190,S3-812648319,S3-826909818
S1-63990887	S2-965330367,S3-798582752,S3-708821241
S1-68028659	S2-47997413,S2-949097457,S3-680454969
S1-144526682	S2-657272952,S3-324803888,S3-927703485,S3-183169633
S1-521254993	S2-391342801,S2-260029909,S3-543206384,S3-112547717,S3-96785772,S3-228683231
S1-184017157	S2-55250528,S3-771795745,S3-382064174
S1-612484899	S2-211182661,S2-639169093,S3-690547751,S3-841814343
S1-315874798	S2-178788281,S2-792185760,S3-652494810,S3-22789765
S1-271831358	S3-513489826,S3-658827774,S3-165943040
S1-103101914	S2-742857142,S2-262119045,S3-464737380,S3-918907997,S3-861731389,S3-681097377
S1-739445941	S2-439082067,S2-682294868,S3-176788284
S1-818389760	S3-312995706,S3-673029335,S3-909659440,S3-840843392,S3-705061486
S1-772737756	S2-880959775,S3-73995214,S3-203926449
S1-399285508	S2-731347569,S3-74011663
